Marca temporal,Puntuación,Team NUMBER,1. ¿Usan CANivore?,2. ¿Protegen sus cables con malla?,3. ¿El switch de encendido tiene protección?,4. ¿Hay algún componente eléctrico muy expuesto?,5. ¿Su cableado es mejor que el nuestro?,6. ¿Los cables se ven nuevos o usados?,7. ¿Ves más Wagos o cables soldados?,"8. ¿Con qué frecuencia tienen problemas CAN?

Nota: Si justo ahora hay fallo CAN, es incorrecto.",9. ¿El módem del robot está bien colocado?,"10. Como examinador, ¿cómo te sentiste al evaluar al equipo?

Nota: Se espera que nunca te hayas sentido mal; especifica cualquier inconformidad."
17/10/2025 18:19:07,8 / 9,7421,Cumple,Cumple,Cumple,Cumple,Cumple,Cumple,Cable Soldados,Nunca / Resuelto y documentado,Cumple,"Super bien, es como si me conocieran desde antes."
17/10/2025 18:24:56,7 / 9,4010,Cumple,Cumple,Cumple,Cumple,No Cumple,Cumple,WAGOS,Nunca / Resuelto y documentado,Cumple,Satisfecho con los resultados y las respuestas del equipo.
17/10/2025 18:28:51,7 / 9,4635,Cumple,Cumple,Cumple,Cumple,Cumple,Cumple,Cable Soldados,Nunca / Resuelto y documentado,No Cumple,Super bien
17/10/2025 18:51:17,7 / 9,3472,Cumple,Cumple,No Cumple,Cumple,Cumple,Cumple,Cable Soldados,Nunca / Resuelto y documentado,Cumple,Super bien
18/10/2025 15:52:52,7 / 9,3478,Cumple,No Cumple,Cumple,Cumple,Cumple,Cumple,WAGOS,Nunca / Resuelto y documentado,Cumple,Super
17/10/2025 18:30:52,6 / 9,5133,No Cumple,Cumple,Cumple,Cumple,No Cumple,Cumple,Cable Soldados,Nunca / Resuelto y documentado,Cumple,Bastante satisfecho con las respuestas del equipo.
17/10/2025 18:41:01,6 / 9,4635,Cumple,Cumple,Cumple,No Cumple,Cumple,Cumple,Cable Soldados,Nunca / Resuelto y documentado,No Cumple,El equipo estaba dispuesto a responder preguntas y fueron abiertos. 
18/10/2025 13:47:12,6 / 9,4400,Cumple,No Cumple,Cumple,No Cumple,Cumple,Cumple,Cable Soldados,Nunca / Resuelto y documentado,Cumple,Super
18/10/2025 13:55:21,6 / 9,5716,Cumple,No Cumple,Cumple,Cumple,No Cumple,Cumple,WAGOS,Nunca / Resuelto y documentado,Cumple,Super
18/10/2025 15:38:42,6 / 9,3526,Cumple,No Cumple,Cumple,Cumple,No Cumple,Cumple,WAGOS,Nunca / Resuelto y documentado,Cumple,Super
18/10/2025 16:13:43,6 / 9,5948,Cumple,No Cumple,Cumple,Cumple,No Cumple,Cumple,Cable Soldados,Nunca / Resuelto y documentado,Cumple,Súper 
18/10/2025 16:59:29,6 / 9,3527,Cumple,No Cumple,Cumple,Cumple,No Cumple,Cumple,WAGOS,Nunca / Resuelto y documentado,Cumple,Super
18/10/2025 17:48:50,6 / 9,8740,Cumple,No Cumple,Cumple,Cumple,No Cumple,Cumple,WAGOS,Nunca / Resuelto y documentado,Cumple,Super
17/10/2025 18:36:23,5 / 9,6702,Cumple,No Cumple,Cumple,No Cumple,No Cumple,Cumple,Cable Soldados,Nunca / Resuelto y documentado,Cumple,Bastante satisfecho con las respuestas del equipo.
18/10/2025 13:36:01,5 / 9,3158,Cumple,No Cumple,Cumple,No Cumple,No Cumple,Cumple,Cable Soldados,Nunca / Resuelto y documentado,Cumple,Súper chido 
18/10/2025 16:07:59,5 / 9,4682,Cumple,No Cumple,Cumple,No Cumple,Cumple,Cumple,WAGOS,Nunca / Resuelto y documentado,No Cumple,Super
18/10/2025 16:11:00,5 / 9,5887,Cumple,No Cumple,No Cumple,No Cumple,Cumple,Cumple,WAGOS,Nunca / Resuelto y documentado,Cumple,Super
18/10/2025 16:25:26,5 / 9,3527,Cumple,No Cumple,Cumple,No Cumple,No Cumple,Cumple,WAGOS,Nunca / Resuelto y documentado,Cumple,Super
18/10/2025 17:02:24,5 / 9,4735,Cumple,No Cumple,Cumple,Cumple,No Cumple,Cumple,WAGOS,Frecuente (actualmente con problema),Cumple,Super
18/10/2025 17:09:24,5 / 9,9999,Cumple,No Cumple,No Cumple,No Cumple,Cumple,Cumple,WAGOS,Nunca / Resuelto y documentado,Cumple,Super
18/10/2025 17:13:59,5 / 9,9282,Cumple,Cumple,Cumple,No Cumple,No Cumple,Cumple,Cable Soldados,Nunca / Resuelto y documentado,No Cumple,Super
18/10/2025 17:44:44,5 / 9,9213,Cumple,No Cumple,No Cumple,Cumple,No Cumple,Cumple,WAGOS,Nunca / Resuelto y documentado,Cumple,Super
18/10/2025 13:40:03,4 / 9,3354,Cumple,No Cumple,Cumple,Cumple,No Cumple,No Cumple,WAGOS,Nunca / Resuelto y documentado,No Cumple,Super
17/10/2025 18:45:19,3 / 9,10931,No Cumple,No Cumple,No Cumple,No Cumple,No Cumple,Cumple,Cable Soldados,Nunca / Resuelto y documentado,Cumple,Muy satisfecho con los resultados y respuestas.
17/10/2025 18:47:01,3 / 9,4403,No Cumple,Cumple,Cumple,No Cumple,No Cumple,No Cumple,Cable Soldados,Nunca / Resuelto y documentado,No Cumple,Muy buena gente.
19/10/2025 8:24:24,1 / 9,5887,No Cumple,No Cumple,No Cumple,No Cumple,No Cumple,No Cumple,Cable Soldados,Nunca / Resuelto y documentado,No Cumple,Me trataron super bien.
