Marca temporal,Puntuación,Team NUMBER,"1. ¿Cuántas baterías tienen?

Nota: Se espera una por partida, contando finales de playoffs.","2. Si hay un problema con el robot, ¿debe arreglarlo el drive team?

Nota: Se busca que el drive team esté libre para estrategia.","3. ¿Pasaron inspección al primer intento? (no aplica en Offseason)

Nota: Si fue a la segunda, explicar el detalle.",4. ¿Cuánto compromiso observas en el equipo?,5. ¿Qué tan confiables son (equipo y robot)?,6. Proporción en el pit: ¿hay 2 alumnos más que mentores?,7. ¿Estaban reparando el robot al llegar al pit?,"8. Como examinador, ¿cómo te sentiste al evaluar al equipo?

Nota: Se espera que nunca te hayas sentido mal; especifica cualquier inconformidad."
17/10/2025 18:03:22,7 / 7,3478,8 o más,No,Sí,Cumple,Inspiran confianza,Sí,No (sólo batería/bumpers/limpieza),Comodo estaban dispuestos a responder y eran amables.
17/10/2025 18:11:24,3 / 7,5948,4–5,Sí,Sí,Cumple,Generan dudas,Sí,"Sí, reparaciones mayores",El equipo es abierto y honesto. Y estuvi dispuesto a responder todas las preguntas.
17/10/2025 18:19:29,6 / 7,7421,8 o más,No,Sí,Cumple,Inspiran confianza,Sí,"Sí, reparaciones mayores",Bien era chivis
17/10/2025 18:21:57,2 / 7,4010,4–5,Sí,No,Cumple,Generan dudas,Sí,"Sí, reparaciones mayores",Todo bien.
17/10/2025 18:28:14,6 / 7,4635,8 o más,Sí,Sí,Cumple,Inspiran confianza,Sí,No (sólo batería/bumpers/limpieza),Muy bien
17/10/2025 18:28:35,4 / 7,5133,4–5,No,Sí,Cumple,Generan dudas,Sí,"Sí, reparaciones mayores",Todo bien.
17/10/2025 18:29:42,4 / 7,5133,4–5,No,Sí,Cumple,Generan dudas,Sí,"Sí, reparaciones mayores",Todo bien
17/10/2025 18:32:12,5 / 7,6702,4–5,No,No,Cumple,Inspiran confianza,Sí,No (sólo batería/bumpers/limpieza),Todo bien
17/10/2025 18:38:05,3 / 7,10931,Menos de 4,Sí,No,Cumple,Inspiran confianza,Sí,"Sí, reparaciones mayores",Todo bien
17/10/2025 18:38:32,6 / 7,4635,8 o más,Sí,Sí,Cumple,Inspiran confianza,Sí,No (sólo batería/bumpers/limpieza),El equipo estaba dispuesto a responder preguntas y fueron abiertos. 
17/10/2025 18:46:46,5 / 7,4403,6–7,No,Sí,Cumple,Generan dudas,Sí,No (sólo batería/bumpers/limpieza),Bien
17/10/2025 18:52:41,6 / 7,3472,4–5,No,Sí,Cumple,Inspiran confianza,Sí,No (sólo batería/bumpers/limpieza),Bien
17/10/2025 19:40:11,5 / 7,4400,8 o más,Sí,Sí,Cumple,Generan dudas,Sí,No (sólo batería/bumpers/limpieza),Bien 
17/10/2025 19:41:47,5 / 7,5716,Menos de 4,Sí,Sí,Cumple,Inspiran confianza,Sí,No (sólo batería/bumpers/limpieza),Bien 
17/10/2025 19:46:20,5 / 7,9301,6–7,Sí,Sí,Cumple,Inspiran confianza,Sí,No (sólo batería/bumpers/limpieza),Me cayeron bien 
17/10/2025 19:47:57,5 / 7,3354,6–7,Sí,Sí,Cumple,Inspiran confianza,Sí,No (sólo batería/bumpers/limpieza),Bien 
18/10/2025 12:57:16,5 / 7,3526,8 o más,Sí,Sí,Cumple,Inspiran confianza,Sí,"Sí, reparaciones mayores",Bien
18/10/2025 13:02:50,6 / 7,4731,6–7,No,Sí,Cumple,Inspiran confianza,Sí,No (sólo batería/bumpers/limpieza),Bien
18/10/2025 13:06:36,4 / 7,4735,6–7,Sí,Sí,Cumple,Generan dudas,Sí,No (sólo batería/bumpers/limpieza),Bien
18/10/2025 13:11:26,5 / 7,5959,4–5,Sí,Sí,Cumple,Inspiran confianza,Sí,No (sólo batería/bumpers/limpieza),Bien
18/10/2025 13:15:59,7 / 7,6017,8 o más,No,Sí,Cumple,Inspiran confianza,Sí,No (sólo batería/bumpers/limpieza),Muy bien 
18/10/2025 13:21:12,6 / 7,6652,Menos de 4,No,Sí,Cumple,Inspiran confianza,Sí,No (sólo batería/bumpers/limpieza),Bien
18/10/2025 13:31:02,6 / 7,7546,6–7,No,Sí,Cumple,Inspiran confianza,Sí,No (sólo batería/bumpers/limpieza),Están bien
18/10/2025 13:33:41,6 / 7,7725,6–7,No,Sí,Cumple,Inspiran confianza,Sí,No (sólo batería/bumpers/limpieza),Muy bien
18/10/2025 15:20:05,2 / 7,3933,4–5,Sí,Segunda vez por detalle menor,Cumple,Generan dudas,Sí,"Sí, reparaciones mayores",Excelente el trato. 
18/10/2025 15:44:14,6 / 7,3158,4–5,No,Sí,Cumple,Inspiran confianza,Sí,No (sólo batería/bumpers/limpieza),Bien.
18/10/2025 16:05:27,4 / 7,5887,4–5,Sí,Sí,Cumple,Generan dudas,Sí,No (sólo batería/bumpers/limpieza),Bien.
19/10/2025 8:23:53,6 / 7,5887,4–5,No,Sí,Cumple,Inspiran confianza,Sí,No (sólo batería/bumpers/limpieza),Bien
