Scouter Initials,Match Number,Robot,Future Alliance,Team Number,Starting Position,No Show,Moved (Auto),Coral L1 (Auto),Coral L2 (Auto),Coral L3 (Auto),Coral L4 (Auto),Barge Algae (Auto),Processor Algae (Auto),Dislodged Algae (Auto),Foul (Auto),Dislodged Algae (Teleop),Pickup Location,Coral L1 (Teleop),Coral L2 (Teleop),Coral L3 (Teleop),Coral L4 (Teleop),Barge Algae (Teleop),Processor Algae (Teleop),Crossed Field/Defense,Tipped/Fell,Touched Opposing Cage,Died,End Position,Broke,Defended,Coral HP Mistake,Yellow/Red Card
Maximiliano Santana Lﾃｳpez,1,Red 3,false,118,Processor Side,false,true,0,0,0,2,0,0,false,0,false,Ground,0,5,7,3,3,0,false,false,0,false,Deep Climb,false,false,false,None
ERC,1,Blue 1,false,4587,No-Processor Side,false,true,0,0,0,0,0,0,false,0,false,Source,0,0,0,3,0,0,false,false,0,false,Parked,false,false,false,None
CAPC,1,Blue 1,false,3735,Middle,false,false,0,0,0,0,0,0,false,0,false,Ground,0,0,0,2,0,0,false,false,0,false,Parked,false,false,true,None
RCF,1,Blue 3,false,1477,Processor Side,false,true,0,0,0,0,0,0,false,0,false,Ground,0,0,1,0,0,0,false,false,0,false,Parked,false,false,false,None
pau,1,Red 2,false,231,Middle,false,true,1,0,0,0,0,0,false,0,true,Source,0,1,0,3,0,0,false,false,0,false,Parked,false,false,false,None
DIHP,2,Red 1,false,8370,No-Processor Side,false,false,0,0,0,0,0,0,false,0,false,Source,0,0,0,0,0,0,true,false,0,false,Parked,false,true,false,None
DIHP,1,Red 1,false,7691,No-Processor Side,false,true,0,0,0,0,0,0,false,0,false,Ground,1,0,2,3,0,0,false,false,0,false,Parked,false,false,false,None
Maximiliano Santana Lﾃｳpez,2,Red 3,false,9512,Processor Side,false,true,0,0,0,0,0,0,false,0,false,Source,1,0,0,0,0,0,false,false,0,false,Parked,false,false,true,None
ERC,2,Blue 2,false,624,Processor Side,false,false,0,0,0,1,0,0,false,0,true,Ground,0,2,3,5,2,0,false,false,0,false,Parked,false,false,false,None
RCF,2,Blue 3,false,8576,Middle,false,false,0,0,0,0,0,0,false,0,false,Ground,0,0,0,0,1,0,true,false,0,false,Deep Climb,false,false,false,None
PH,2,Red 2,false,7421,Middle,false,true,0,0,0,0,0,0,false,0,false,Ground,4,0,0,0,0,0,false,false,0,false,None,false,false,false,None
CAPC,2,Blue 1,false,6800,No-Processor Side,false,true,0,0,0,2,0,0,false,0,true,Source,0,5,3,3,5,0,false,false,0,false,Deep Climb,false,false,false,None
pau,3,Red 2,false,4639,Processor Side,false,false,0,0,0,0,0,0,false,0,true,Source,0,1,3,2,0,0,false,false,0,false,None,false,false,false,None
ERC,3,Blue 2,false,8769,No-Processor Side,false,true,0,1,0,0,0,0,false,0,false,Source,0,5,4,0,0,0,false,false,0,true,Parked,false,false,false,None
Maximiliano Santana Lﾃｳpez,3,Red 3,false,4328,Middle,false,false,0,0,0,0,0,0,false,0,true,Ground,0,0,0,0,0,0,true,false,0,false,Parked,false,true,false,None
RCF,3,Blue 3,false,6647,Middle,false,true,0,0,0,1,0,0,false,0,false,Ground,0,0,0,4,0,0,false,false,0,false,Parked,false,false,false,None
DIHP,3,Red 1,false,2582,No-Processor Side,false,true,0,0,0,2,0,0,false,0,true,Source,0,0,1,4,0,0,false,false,0,false,Deep Climb,false,false,false,None
CAPC,3,Blue 1,false,8177,Processor Side,false,true,0,0,0,0,0,0,false,0,true,Both,0,0,1,3,0,0,false,false,0,false,Deep Climb,false,false,false,None
Maximiliano Santana Lﾃｳpez,4,Red 3,false,5414,Processor Side,false,true,0,0,0,2,0,0,false,0,false,Source,0,0,0,5,1,0,false,false,0,false,Parked,false,false,false,None
pau,4,Red 2,false,7492,Processor Side,false,true,1,0,0,1,0,0,false,0,true,Ground,0,0,0,2,1,0,false,false,0,false,Parked,false,false,false,None
ERC,4,Blue 2,false,6243,Middle,false,true,1,0,0,0,0,0,false,0,false,Source,11,0,0,0,0,0,false,false,0,false,Parked,false,false,false,None
RCF,4,Blue 3,false,4010,Processor Side,true,false,0,0,0,0,0,0,false,0,false,Ground,0,0,0,0,0,0,false,false,0,false,None,false,false,false,None
DIHP,4,Red 1,false,2881,Middle,false,true,0,0,0,1,1,0,true,0,true,Source,0,0,0,0,1,0,false,false,0,false,Parked,false,false,false,None
CAPC,4,Blue 1,false,5829,No-Processor Side,false,false,0,0,0,0,0,0,false,0,false,Source,0,0,1,2,0,0,false,false,0,false,Parked,false,false,false,None
DIHP,5,Red 1,false,5427,No-Processor Side,false,true,0,0,0,0,0,0,false,0,true,Source,0,1,0,3,2,0,false,false,0,false,Parked,false,false,false,None
ERC,5,Blue 2,false,7312,Middle,false,true,0,0,0,0,0,0,false,0,true,Source,0,0,0,0,1,0,false,false,0,false,Parked,false,false,false,None
Maximiliano Santana Lﾃｳpez,5,Blue 1,false,4635,No-Processor Side,false,false,0,0,0,0,0,0,false,0,false,Ground,1,0,0,2,0,0,false,false,0,true,Parked,false,false,false,None
CAPC,5,Blue 1,false,8515,No-Processor Side,false,true,0,0,0,0,0,0,false,0,false,Ground,0,0,0,0,0,0,false,false,0,true,Parked,false,false,false,None
RCF,5,Blue 3,false,4295,Processor Side,true,true,0,0,0,0,0,0,false,0,false,Source,1,3,0,0,0,0,false,false,0,false,Parked,false,false,false,None
pau,5,Red 2,false,9137,Processor Side,false,true,0,0,0,1,0,0,false,0,false,Ground,0,0,0,0,1,0,false,false,0,false,None,false,false,false,None
DIHP,6,Red 1,false,5892,No-Processor Side,false,true,0,0,0,2,0,0,false,0,false,Source,1,1,4,4,0,0,false,false,0,false,Deep Climb,false,false,false,None
ERC,6,Blue 2,false,9181,Middle,false,true,0,0,0,1,0,0,false,0,false,Source,0,1,0,3,0,0,false,false,0,false,Deep Climb,false,false,false,None
RCF,6,Blue 3,true,2848,Processor Side,false,true,0,0,0,1,0,0,false,0,false,Source,0,0,0,3,2,0,false,false,0,false,None,false,false,false,None
Maximiliano Santana Lﾃｳpez,6,Red 3,false,9991,Processor Side,false,true,1,0,0,0,0,0,false,0,false,Source,13,0,0,0,0,0,false,false,0,false,None,false,false,false,None
CAPC,6,Blue 1,false,5908,No-Processor Side,false,false,0,0,0,0,0,0,false,0,true,Source,0,1,0,0,0,0,false,false,0,false,Parked,false,false,false,None
PAU,6,Red 2,false,6357,Middle,false,false,0,0,0,1,2,0,true,0,true,Ground,0,0,0,3,1,0,false,false,0,false,Shallow Climb,false,false,false,None
DIHP,7,Red 1,false,8370,Middle,false,true,0,0,0,0,0,0,false,0,false,Source,0,0,0,1,0,0,true,false,0,false,Parked,false,false,false,None
ERC,7,Blue 2,false,118,Processor Side,false,false,0,0,0,3,0,0,false,0,true,Ground,0,0,6,6,4,0,false,false,0,false,Deep Climb,false,false,false,None
RCF,7,Blue 3,false,2587,Middle,false,true,0,0,0,0,0,0,false,0,false,Source,0,0,0,2,0,0,false,false,0,false,None,false,false,false,None
MS,7,Red 3,false,9994,Middle,false,true,1,0,0,0,0,0,false,0,false,Source,4,0,0,0,1,0,false,false,0,false,None,false,false,false,None
CAPC,7,Blue 1,false,6647,No-Processor Side,false,false,0,0,0,0,0,0,false,0,true,Ground,0,0,0,1,0,0,false,false,0,false,Parked,false,false,false,None
PAU,7,Red 2,false,3847,Processor Side,false,false,0,0,0,3,0,0,false,0,true,Both,1,0,4,2,0,0,false,false,0,false,None,false,false,false,None
DIHP,8,Red 1,false,6243,Middle,false,true,1,0,0,0,0,0,false,0,false,Source,5,0,0,0,0,0,false,false,0,false,Parked,false,false,false,None
ERC,8,Blue 2,false,4639,No-Processor Side,false,true,0,0,0,0,0,0,false,0,false,Ground,0,0,0,0,0,0,false,false,0,false,None,false,false,false,None
PAU,7,Red 2,false,5414,Processor Side,false,true,0,0,0,1,0,0,false,0,false,Source,0,0,0,7,0,0,false,false,0,false,Parked,false,false,false,None
CAPC,8,Blue 1,false,7421,Processor Side,false,true,0,0,0,1,0,0,false,0,true,Ground,0,0,2,5,0,0,false,false,0,false,Parked,false,false,false,None
RCF,9,Blue 3,false,8177,Processor Side,false,false,0,0,0,1,0,0,false,0,false,Source,0,0,0,1,0,0,false,false,0,false,None,false,false,false,None
CAPC,9,Blue 1,false,4295,No-Processor Side,false,false,0,0,0,0,0,0,false,0,true,Ground,1,1,0,0,0,0,false,false,0,false,Parked,false,false,true,None
