Scouter Name,Match Number,Robot Position,Team Number,Starting Position,Shoot Time (Auto),Shoot amount (Auto),Pass amount (Auto),Climb Position (Auto),"If climbed, Got stuck in Tower? (Auto)",Auton Complexity,Auton Completed?,How much missed shots? (Auto),Shoot Time (Teleop),Pass Time (Teleop),Shoot amount (Teleop),Pass amount (Teleop),Penalty Counter,How much missed shots? (Teleop),Quality Chasis/Driver Movement,Climb,Jammed over balls?,Bulldozing?,Defended?,Chasis Type,Died,"Comments? (Keep it short, only relevant info)"
AutoScout 1,1,Blue 1,10225,Outpost Side,,Many (30-60),Many (30-60),Middle,False,Good,True,10%,,,Capitan (More than 130),Too many (90-130),3,0%(ask before),Good,L3,False,None,None,Swerve,False,"Prepa Tecmilenio - PYROX: offense 5/5, defense 2/5"
AutoScout 1,2,Blue 2,10225,Middle,,Too many (More than 60),Too many (More than 60),Failed Climb Attempt,False,Good,True,0%(ask before),,,Capitan (More than 130),Support (More than 130),1,0%(ask before),Good,Failed Climb Attempt,False,Mid,None,Swerve,False,"Prepa Tecmilenio - PYROX: offense 5/5, defense 2/5"
AutoScout 1,3,Blue 3,10225,Depot Side,,Many (30-60),Many (30-60),Middle,False,Excellent,True,0%(ask before),,,Capitan (More than 130),Too many (90-130),3,10%,BestOfEvent,L3,False,Bad,Mid,Swerve,False,"Prepa Tecmilenio - PYROX: offense 5/5, defense 2/5"
AutoScout 2,4,Red 1,10529,Middle,,Some (15-30),Too little (Less than 15),Side,False,Excellent,True,0%(ask before),,,Too many (90-130),Too many (90-130),4,0%(ask before),Mid,Failed Climb Attempt,True,Mid,BestOfEvent,Swerve,False,"BATS: offense 4/5, defense 4/5"
AutoScout 2,5,Red 2,10529,Depot Side,,Some (15-30),Many (30-60),Side,False,Excellent,True,10%,,,Many (60-90),Some (35-60),1,25%,Mid,Failed Climb Attempt,False,Good,Good,Swerve,False,"BATS: offense 4/5, defense 4/5"
AutoScout 2,6,Red 3,10529,Outpost Side,,Many (30-60),Some (15-30),Failed Climb Attempt,False,Good,True,0%(ask before),,,Many (60-90),Too many (90-130),1,25%,BestOfEvent,L3,False,Mid,Good,Swerve,False,"BATS: offense 4/5, defense 4/5"
AutoScout 3,7,Blue 1,10565,Depot Side,,Some (15-30),Too little (Less than 15),Failed Climb Attempt,False,Only Shot,True,10%,,,Some (35-60),Too little (Less than 35),3,10%,Mid,L3,False,BestOfEvent,BestOfEvent,Swerve,True,"FARADAY- Prepa Tecmilenio: offense 3/5, defense 5/5"
AutoScout 3,8,Blue 2,10565,Outpost Side,,Too little (Less than 15),None,Middle,False,Good,True,10%,,,Too many (90-130),Too little (Less than 35),5,25%,BestOfEvent,Failed Climb Attempt,False,BestOfEvent,BestOfEvent,Swerve,False,"FARADAY- Prepa Tecmilenio: offense 3/5, defense 5/5"
AutoScout 3,9,Blue 3,10565,Middle,,Many (30-60),None,Failed Climb Attempt,False,Good,True,10%,,,Many (60-90),Too little (Less than 35),4,25%,BestOfEvent,Failed Climb Attempt,False,Good,Good,Swerve,False,"FARADAY- Prepa Tecmilenio: offense 3/5, defense 5/5"
AutoScout 4,10,Red 1,10931,Outpost Side,,Some (15-30),None,Side,True,Moves Balls in Middle,False,25%,,,Capitan (More than 130),Many (60-90),3,25%,Mid,L2,False,Mid,Good,Mecanum,False,"Silver Talon: offense 4/5, defense 3/5"
