Scouter Name,Match Number,Robot Position,Team Number,Starting Position,Is HP True to your team?,Shoot Time (Auto),HP Scored (Auto),Climb Position (Auto),Stuck in Tower If Climbed? (Auto),Auton Quality,Shoot Time (Teleop),Pass Time,HP Scored (Teleop),Penalty Counter,Climb,Jammed over balls?,Died,Driver Quality,Do you want it on our alliance?
Diego,1,Blue 1,10225,Outpost Side,True,5.03,8,N/A,False,Average,40.71,30.8,22,0,Didn't Climb,False,False,Average,False
Fernanda,1,Blue 2,10529,Depot Side,True,0.03,12,Side,False,Bad,14.84,13.62,16,0,L2,False,False,Average,False
Miguel,1,Blue 3,10565,Outpost Side,True,7.23,7,Side,True,Good,15.38,21.14,8,1,L2,False,False,Average,False
Isabela,1,Red 1,10931,Middle,True,5.06,1,Side,False,Average,55.01,23.0,9,1,L2,False,False,Average,False
Rodrigo,1,Red 2,11065,Depot Side,True,5.23,7,Side,False,Average,50.23,26.52,34,1,L2,False,False,Average,False
Camila,1,Red 3,3354,Depot Side,True,4.02,9,Side,False,Excellent,69.89,21.44,26,2,L1,False,False,Excellent,True
Marco,2,Blue 1,3472,Middle,True,9.27,6,Side,False,Good,31.6,11.0,22,2,L2,False,False,Bad,False
Sofia,2,Blue 2,3478,Middle,False,7.17,4,N/A,False,Good,67.73,12.76,14,0,Didn't Climb,False,False,Good,True
Carlos,2,Blue 3,3480,Depot Side,False,8.57,10,Middle,False,Average,18.78,32.49,35,0,L3,False,False,Good,True
Ana,2,Red 1,3522,Outpost Side,True,0.05,10,Middle,False,Average,49.87,22.23,13,1,L1,False,False,Good,True
Luis,2,Red 2,3794,Middle,False,9.35,8,Side,False,Excellent,57.01,32.45,11,1,L1,False,False,Bad,False
Valeria,2,Red 3,3933,Depot Side,True,3.53,3,Side,False,Average,56.17,5.77,13,2,L2,False,False,Good,True
Diego,3,Blue 1,4010,Depot Side,True,4.34,15,Side,True,Bad,30.19,22.95,18,2,L1,False,False,Excellent,True
Fernanda,3,Blue 2,4371,Outpost Side,True,7.11,8,Middle,False,Good,62.67,8.87,24,2,L2,False,False,Excellent,True
Miguel,3,Blue 3,4584,Middle,True,1.75,4,Middle,False,Average,37.83,34.98,17,1,L2,False,False,Average,False
Isabela,3,Red 1,4635,Middle,True,9.54,2,Middle,False,Average,62.72,24.37,3,1,L1,False,False,Average,False
Rodrigo,3,Red 2,4723,Depot Side,True,7.51,11,Middle,False,Average,53.86,22.1,29,2,L2,False,False,Average,False
Camila,3,Red 3,4775,Middle,True,6.3,7,Side,False,Bad,40.4,13.3,29,0,L2,False,True,Good,True
Marco,4,Blue 1,4782,Depot Side,True,2.35,3,Side,False,Excellent,28.6,7.82,9,2,L1,False,False,Good,True
Sofia,4,Blue 2,5133,Depot Side,True,4.63,2,Side,False,Good,68.75,31.35,12,2,L2,False,False,Excellent,True
Carlos,4,Blue 3,5887,Middle,True,7.27,12,Side,False,Excellent,56.15,32.48,21,1,L1,True,False,Bad,False
Ana,4,Red 1,5932,Middle,True,0.37,6,Side,False,Good,41.36,22.91,12,2,L2,False,False,Good,True
Luis,4,Red 2,5959,Middle,True,0.28,4,Side,False,Good,53.04,21.24,23,2,L2,False,True,Bad,False
Valeria,4,Red 3,6017,Depot Side,True,0.89,6,N/A,False,Excellent,20.76,6.14,12,2,Didn't Climb,False,False,Average,False
Diego,5,Blue 1,6106,Outpost Side,True,0.58,10,N/A,False,Bad,23.31,20.26,27,0,Didn't Climb,False,False,Good,True
Fernanda,5,Blue 2,6170,Middle,True,3.75,10,N/A,False,Good,37.56,18.73,15,1,Didn't Climb,False,False,Good,True
Miguel,5,Blue 3,6200,Depot Side,False,7.02,5,Side,False,Good,57.72,24.17,22,0,L2,False,False,Average,False
Isabela,5,Red 1,6348,Depot Side,False,0.45,3,N/A,False,Excellent,33.6,21.17,12,2,Didn't Climb,False,False,Good,True
Rodrigo,5,Red 2,6606,Depot Side,False,0.42,11,N/A,False,Good,45.56,28.62,21,0,Didn't Climb,False,False,Bad,False
Camila,5,Red 3,6652,Depot Side,True,6.48,5,Middle,False,Average,66.35,15.67,28,2,L3,False,False,Bad,False
