Marca temporal,Team NUMBER,Puntuación,prog_path_planner,prog_auto_change,prog_auto_reliability,prog_odometry_type,prog_drive_orient,mech_checklist,mech_spare_parts,mech_std_bolts,mech_problem_mechanism,mech_chassis_type,mech_ball_capacity,elec_canivore,elec_ethernet_cables,elec_radio_location,elec_cable_replace,elec_battery_peak,comp_batteries,comp_bumper_time,comp_drivers_needed,comp_balls_per_second,comp_mentors_vs_students,"Como examinador, ¿cómo te sentiste evaluando a este equipo?"
2026-04-25 10:00:00,3354,100 / 100,si,Sencillo,10 veces siempre,Fusión de sensores,Ambas,si,Tenemos para todos los mecanismos,si,intake,Swerve,12,si,Hechos por nosotros,Escondido de muchas cosas,Sencillo,si,Más de 10,Menos de 1 minuto,no,3,Son más alumnos,"Great team, highly organized."
2026-04-25 10:01:00,4723,98 / 100,si,Sencillo,10 veces siempre,Fusión de sensores,Ambas,si,Tenemos para todos los mecanismos,si,shooter,Swerve,12,si,Hechos por nosotros,Escondido de muchas cosas,Sencillo,si,Más de 10,Menos de 1 minuto,no,3,Son más alumnos,"Excellent engineering and pit organization."
2026-04-25 10:02:00,4584,95 / 100,si,Sencillo,10 veces siempre,Fusión de sensores,Ambas,si,Tenemos para todos los mecanismos,si,climber,Swerve,10,si,Hechos por nosotros,Escondido de muchas cosas,Sencillo,si,Más de 10,Menos de 1 minuto,no,2,Son más alumnos,"Very solid robot design."
2026-04-25 10:03:00,7421,100 / 100,si,Sencillo,10 veces siempre,Fusión de sensores,Ambas,si,Tenemos para todos los mecanismos,si,intake,Swerve,12,si,Hechos por nosotros,Escondido de muchas cosas,Sencillo,si,Más de 10,Menos de 1 minuto,no,3,Son más alumnos,"Flawless execution in the pits, incredible."
2026-04-25 10:04:00,10565,96 / 100,si,Sencillo,10 veces siempre,Fusión de sensores,Ambas,si,Tenemos para todos los mecanismos,si,elevator,Swerve,11,si,Hechos por nosotros,Escondido de muchas cosas,Sencillo,si,Más de 10,Menos de 1 minuto,no,3,Son más alumnos,"Amazing autonomous modes."
2026-04-25 10:05:00,4782,90 / 100,si,Sencillo,10 veces siempre,Corrección por april tag,Ambas,si,Tenemos para todos los mecanismos,si,intake,Swerve,10,si,Comprados,Escondido de muchas cosas,Sencillo,si,Más de 10,Menos de 1 minuto,no,2,Son más alumnos,"Strong programming skills."
2026-04-25 10:06:00,6348,92 / 100,si,Sencillo,10 veces siempre,Corrección por april tag,Ambas,si,Tenemos para todos los mecanismos,si,shooter,Swerve,12,si,Comprados,Escondido de muchas cosas,Sencillo,si,Más de 10,Menos de 1 minuto,no,3,Son más alumnos,"Great performance across the board."
2026-04-25 10:07:00,6676,60 / 100,si,Difícil,Menos de 10,Estimación por swerve,Orientación de Cancha,si,Tenemos solo para varios,si,elevator,Mecanum,8,no,Comprados,Escondido de muchas cosas,Difícil,si,Menos de 10,Menos de 2 minutos,si,2,Son más alumnos,"Decent team, some room for improvement."
2026-04-25 10:08:00,4010,65 / 100,si,Difícil,Menos de 10,Estimación por swerve,Orientación de Cancha,si,Tenemos solo para varios,si,intake,Mecanum,8,no,Comprados,Escondido de muchas cosas,Difícil,si,Menos de 10,Menos de 2 minutos,si,2,Son más alumnos,"Average pit organization, solid effort."
2026-04-25 10:09:00,10529,30 / 100,no,Difícil,Menos de 5,Encoders de llanta,Orientación de robot,no,No tenemos ningún repuesto,no,shooter,Tank,4,no,Comprados,Expuesto como el nuestro,Difícil,no,Menos de 5,Más de 2 minutos,si,1,Son más mentores,"Disorganized pit, many issues."
2026-04-25 10:10:00,3472,25 / 100,no,Difícil,Menos de 5,Encoders de llanta,Orientación de robot,no,No tenemos ningún repuesto,no,climber,Tank,3,no,Comprados,Expuesto como el nuestro,Difícil,no,Menos de 5,Más de 2 minutos,si,1,Son más mentores,"They need better mentoring and tools."
2026-04-25 10:11:00,6652,20 / 100,no,Difícil,Menos de 5,Encoders de llanta,Orientación de robot,no,No tenemos ningún repuesto,no,intake,Tank,2,no,Comprados,Expuesto como el nuestro,Difícil,no,Menos de 5,Más de 2 minutos,si,1,Son más mentores,"Robot was not working most of the time."
