,QR Data
0,Hermes	1	Blue 1	27324	Center	No	No	3	2			Score Goal	No	2	1		2	2		Yes	No	No	Fully Returned	NOT Attempted	No	No	
1,Ervey	1	Blue 2	16255	Goal Side	No	No	8			1	Score Goal	No	17			2		Mixed	No	No	No	Not Returned	NOT Attempted	No	No	None
2,Adrian	1	Red 1	12887	Center	No	No					Mixed	No	12			2		Mixed	No	No	No	Fully Returned	NOT Attempted	No	No	
3,Raul	1	Red 2	15909	Goal Side	No	Yes	4				Mixed	No	11			8		Mixed	No	No	No	Partially Returned	NOT Attempted	No	No	
4,Raul	2	Red 2	21802	Goal Side	No	Yes	6			3	Score Goal	No	12			5	5	Mixed	No	No	No	Fully Returned	NOT Attempted	No	No	
5,Ervey	2	Blue 2	18341	Goal Side	No	No					None/Dead	Yes	4			7		Goal Scoring	No	No	No	Fully Returned	NOT Attempted	No	No	None
6,Adrian	2	Red 1	32867	Center	No	No				3	None/Dead	No	8			2	5	Goal Scoring	No	No	Yes	Not Returned	NOT Attempted	No	No	None
7,Hermes	2	Blue 1	26255	Center	No	No						No				5	3	Goal Scoring	No	No	No	Not Returned	NOT Attempted	No	No	
8,Raul	3	Red 2	24831	Goal Side	No	Yes	3			3	Score Goal	No	8			4	3	Mixed	No	No	No	Fully Returned	NOT Attempted	No	No	
9,Adrian	3	Red 1	23481	Center	No	No	3				Score Goal	No	9			9	3	Goal Scoring	No	Yes	No	Partially Returned	NOT Attempted	No	No	
10,Ervey	3	Blue 2	16508	Goal Side	No	Yes					None/Dead	Yes	8		2	3		Goal Scoring	No	Yes	No	Fully Returned	NOT Attempted	No	No	None
11,Hermes	3	Blue 1	27811	Center	No	Yes					None/Dead	No						Mixed	Yes	No	No	Not Returned	NOT Attempted	No	No	Yellow Card
12,Raul	4	Red 2	23639	Center	No	No					None/Dead	No				1		None/Dead	No	No	Yes	Partially Returned	NOT Attempted	No	No	
13,Adrian	4	Red 1	25296	Goal Side	No	No					None/Dead	No	1			4		Goal Scoring	No	No	No	Partially Returned	NOT Attempted	No	No	
14,Ervey	4	Blue 2	30670	Goal Side	No	Yes	6				Score Goal	No				1		Mixed	No	Yes	Yes	Not Returned	NOT Attempted	No	No	None
15,Hermes	4	Blue 1	22372	Center	No	No					None/Dead	No						None/Dead	No	No	Yes	Not Returned	NOT Attempted	No	No	
